Disease1,Disease2,PHENO-SIM
MONDO:0009276,MONDO:0007954,0.0
MONDO:0009276,MONDO:0010119,0.0
MONDO:0009276,MONDO:0011857,0.0
MONDO:0009276,MONDO:0008233,0.0
MONDO:0009276,MONDO:0007053,0.0
MONDO:0009276,MONDO:0007661,0.0
MONDO:0009276,MONDO:0007830,0.0
MONDO:0009276,MONDO:0010983,0.0
MONDO:0009276,OMIM:608622,0.0
MONDO:0009276,MONDO:0008071,0.0
MONDO:0009276,MONDO:0007743,0.0
MONDO:0009276,MONDO:0007754,0.0
MONDO:0009276,MONDO:0009855,0.0
MONDO:0009276,MONDO:0010159,0.0
MONDO:0009276,MONDO:0008558,0.0
MONDO:0009276,MONDO:0007845,0.0
MONDO:0009276,MONDO:0010108,0.0
MONDO:0009276,MONDO:0009348,0.0
MONDO:0009276,MONDO:0009691,0.0
MONDO:0009276,MONDO:0016419,0.0
MONDO:0009276,MONDO:0011891,0.0
MONDO:0009276,MONDO:0009399,0.0
MONDO:0009276,MONDO:0008590,0.0
MONDO:0009276,MONDO:0020759,0.0
MONDO:0009276,MONDO:0020772,0.0
MONDO:0009276,MONDO:0011491,0.0
MONDO:0009276,MONDO:0011970,0.0
MONDO:0009276,MONDO:0008836,0.0
MONDO:0009276,MONDO:0011892,0.0
MONDO:0009276,MONDO:0010339,0.0
MONDO:0009276,MONDO:0009013,0.0
MONDO:0009276,MONDO:0011875,0.0
MONDO:0009276,MONDO:0009976,0.0
MONDO:0009276,MONDO:0008834,0.0
MONDO:0009276,MONDO:0010940,0.0
MONDO:0009276,MONDO:0004948,0.0
MONDO:0009276,MONDO:0009781,0.0
MONDO:0009276,MONDO:0007190,0.0
MONDO:0009276,MONDO:0021571,0.0
MONDO:0009276,MONDO:0011292,0.0
MONDO:0009276,MONDO:0007899,0.0
MONDO:0009276,MONDO:0007583,0.0
MONDO:0009276,MONDO:0008114,0.0
MONDO:0009276,MONDO:0008187,0.0
MONDO:0009276,MONDO:0020745,0.0
MONDO:0009276,MONDO:0007597,0.0
MONDO:0009276,MONDO:0007598,0.0
MONDO:0009276,MONDO:0007595,0.0
MONDO:0009276,MONDO:0009206,0.0
MONDO:0009276,MONDO:0010602,0.0
MONDO:0009276,MONDO:0008007,0.0
MONDO:0009276,MONDO:0009688,0.0
MONDO:0009276,MONDO:0010340,0.0
MONDO:0009276,MONDO:0005090,0.0
MONDO:0009276,MONDO:0024533,0.0
MONDO:0009276,MONDO:0009539,0.0
MONDO:0009276,MONDO:0007057,0.0
MONDO:0009276,MONDO:0008980,0.0
MONDO:0009276,MONDO:0011098,0.0
MONDO:0009276,MONDO:0010706,0.0
MONDO:0009276,MONDO:0023122,0.0
MONDO:0009276,MONDO:0008635,0.0
MONDO:0009276,MONDO:0007664,0.0
MONDO:0009276,MONDO:0007781,0.0
MONDO:0009276,MONDO:0009167,0.0
MONDO:0009276,MONDO:0011953,0.0
MONDO:0009276,MONDO:0009851,0.0
MONDO:0009276,MONDO:0009164,0.0
MONDO:0009276,MONDO:0008974,0.0
MONDO:0009276,MONDO:0009733,0.0
MONDO:0009276,MONDO:0010874,0.0
MONDO:0009276,MONDO:0008758,0.0
MONDO:0009276,MONDO:0008829,0.0
MONDO:0009276,MONDO:0024498,0.0
MONDO:0009276,MONDO:0009693,0.0
MONDO:0009276,MONDO:0010789,0.0
MONDO:0009276,MONDO:0000914,0.0
MONDO:0009276,MONDO:0020671,0.0
MONDO:0009276,MONDO:0007885,0.0
MONDO:0009276,MONDO:0005298,0.0
MONDO:0009276,MONDO:0011183,0.0
MONDO:0009276,MONDO:0008178,0.0
MONDO:0009276,MONDO:0011835,0.0
MONDO:0009276,MONDO:0008827,0.0
MONDO:0009276,MONDO:0010624,0.0
MONDO:0009276,MONDO:0007127,0.0
MONDO:0009276,MONDO:0007704,0.0
MONDO:0009276,MONDO:0011923,0.0
MONDO:0009276,MONDO:0008143,0.0
MONDO:0009276,MONDO:0009648,0.0
MONDO:0009276,MONDO:0010941,0.0
MONDO:0009276,MONDO:0010910,0.0
MONDO:0009276,MONDO:0009891,0.0
MONDO:0009276,MONDO:0007763,0.0
MONDO:0009276,MONDO:0007964,0.0
MONDO:0009276,MONDO:0007963,0.0
MONDO:0009276,MONDO:0008554,0.0
MONDO:0009276,MONDO:0008433,0.0
MONDO:0009276,MONDO:0010811,0.0
MONDO:0009276,MONDO:0008696,0.0
MONDO:0009276,MONDO:0009421,0.0
MONDO:0009276,MONDO:0007186,0.0
MONDO:0009276,MONDO:0007140,0.0
