Drug,Disease,Class,TC_HPO-SIM,TC_PHENO-SIM,SE-SIM_HPO-SIM,SE-SIM_PHENO-SIM,PPI-SIM_HPO-SIM,PPI-SIM_PHENO-SIM,HPO-SIM,PHENO-SIM,GO-SIM_HPO-SIM,GO-SIM_PHENO-SIM,TARGETSEQ-SIM_HPO-SIM,TARGETSEQ-SIM_PHENO-SIM
DB00915,168100,1,0.7246537168,0.6695340634,0.6217383723,0.5477225575,0.8054075765,0.3490010815,268.8140621,268.8140621,0.941071197,0.941071197,0.8054075765,0.4879762328
DB00623,181500,1,0.8713548412,0.8713548412,0.6146362972,0.6146362972,0.8074859611,0.5754055066,358.0991483,358.0991483,0.9773050828,0.9773050828,0.8074859611,0.4879762328
DB00190,168600,1,0.8493074604,0.6764814252,0.8493074604,0.7207499702,0.8493074604,0.5754055066,341.9195812,341.9195812,0.8493074604,0.772638272,0.8493074604,0.231302686
DB00190,102300,1,0.7217290915,0.6103679379,0.7217290915,0.5041632692,0.7217290915,0.2116798562,341.7967232,341.7967232,0.7575197363,0.7575197363,0.7217290915,0.1943224638
DB00190,168100,1,0.8493074604,0.6764814252,0.8493074604,0.7207499702,0.8493074604,0.5754055066,341.9195812,341.9195812,0.8493074604,0.772638272,0.8493074604,0.231302686
DB00190,125320,1,0.8211915218,0.5674803065,0.8211915218,0.5298129428,0.8211915218,0.3490010815,341.9195812,341.9195812,0.8211915218,0.7718033687,0.8211915218,0.2268421809
DB01221,147530,1,0.6804138174,0.6804138174,0.3922322703,0.3922322703,1,1,337.4655538,337.4655538,0.973561064,0.973561064,1,1
DB01105,264120,1,0.7171371656,0.7171371656,0.708022186,0.5319086663,1,1,254.9137109,254.9137109,0.9731775669,0.9731775669,1,1
DB01105,601665,1,0.7171371656,0.7171371656,0.708022186,0.3090669637,1,1,254.9137109,254.9137109,0.9731775669,0.9731775669,1,1
DB01105,303110,1,0.7171371656,0.7171371656,0.6723867799,0.2756589232,1,1,254.9137109,254.9137109,0.9731775669,0.9731775669,1,1
DB00868,608088,1,0.7071067812,0.7071067812,0.3973597071,0.3973597071,1,1,193.6982189,193.6982189,0.9233444442,0.9233444442,1,1
DB00264,608622,1,0.9309493363,0.9309493363,0.8136537404,0.633257632,1,1,335.9508893,335.9508893,1,1,1,1
DB00264,161900,1,0.9309493363,0.9309493363,0.7628682221,0.633257632,1,1,335.9508893,335.9508893,1,1,1,1
DB00264,190300,1,0.879049073,0.879049073,0.6222578237,0.5024213217,1,1,325.2337621,325.2337621,0.9793001481,0.9793001481,1,1
DB00264,607554,1,1,0.8204126541,1,0.5469068868,1,0.3490010815,325.275268,325.275268,1,0.9771461049,1,0.4735196371
DB00264,110100,1,0.9414688717,0.9414688717,0.6095420428,0.6095420428,1,1,325.2337621,325.2337621,1,1,1,1
DB00264,608583,1,1,0.7196229171,1,0.5451328382,1,0.3490010815,325.275268,325.275268,1,0.9771461049,1,0.2190205677
DB00264,157700,1,0.9414688717,0.9414688717,0.6670969563,0.6095420428,1,1,325.2337621,325.2337621,1,1,1,1
DB00863,109350,1,0.9168313423,0.9168313423,0.6945680501,0.5322906474,1,1,262.4823804,262.4823804,1,1,1,1
